News,Price_Direction_Up,Price_Direction_Constant,Price_Direction_Down,Asset_Comparision,Past_Information,Future_Information,Price_Sentiment,label_num
"India gold up over 1%, recovering from 2-week low",1,0,0,0,1,0,positive,2
"crude oil keeps losses after data, gold trades up",1,0,0,1,1,0,positive,2
Gold in narrow range as investors hunt bargains after sharp drop,0,1,1,0,1,0,negative,1
"gold up rs 95, silver by rs 450 on seasonal demand, global cues",1,0,0,1,1,0,positive,2
"December gold settles off $4.90, or 0.4%, at $1,287.30/oz.",0,0,1,0,1,0,negative,1
"govt raises duty on gold, silver; hopes to get rs 4830cr",0,0,0,1,1,0,none,3
gold / silver / copper futures - weekly outlook: june 20 - 24,0,0,0,1,1,0,none,3
Expect gold prices to rise today: Angel Commodities,1,0,0,0,0,1,positive,2
spot gold quoted at $494.90 in asia trade,0,0,0,0,1,0,none,3
gold smuggling likely to rise in india as festive buyers try to avoid new tax,1,0,0,0,0,1,positive,2
gold futures tally a week rise of about 0.3%,1,0,0,0,1,0,positive,2
cftc : gold speculators edged their bullish bets slightly higher this week,1,0,0,0,1,0,positive,2
gold slightly higher amid mixed trading in dollar,1,0,0,1,1,0,positive,2
sell mcx gold aug; target of rs 24760/24635: way2wealth,0,0,0,0,1,0,none,3
Gold adds to slight loss after economic reports,0,0,0,0,1,0,none,3
cboe gold index up 0.7% to end at 172.11 after 169.06 low,1,0,0,0,1,0,positive,2
"april gold at $1,596.90/oz vs. $1,593 before data",1,0,0,0,1,0,positive,2
"gold slumps to one-month low below $1,700",0,0,1,0,1,0,negative,1
gold futures gain $12 in four winning sessions,1,0,0,0,1,0,positive,2
gold etf swings positive in wake of fomc statement,0,0,0,0,1,0,none,3
cash's king: customers rush to sell old gold,0,0,0,0,1,0,none,3
gold glitters to hit over 2-mth high on global cues; up rs 340,1,0,0,0,1,0,positive,2
"gold rises modestly to $1,388.30 an ounce",1,0,0,0,1,0,positive,2
amex gold bugs index up 1.6% to close at 303.62,1,0,0,0,1,0,positive,2
gold ends lower for a second-straight session,0,0,1,0,1,0,negative,1
mcx goldm january contract firms up,1,0,0,0,1,0,positive,2
gold futures finish with a 5% loss for the week,0,0,1,0,1,0,negative,1
"gold rallies to hit 11-month high of rs 31,350",1,0,0,0,1,0,positive,2
gold touches fresh multi-week highs above $1240,1,0,0,0,1,0,positive,2
gold losses weigh on toronto,0,0,1,0,1,0,negative,1
"gold rises, as dollar declines after job data",1,0,0,1,1,0,positive,2
"dec. gold jumps $17.40, or 1.3%, to settle at $1,315.30/oz",1,0,0,0,1,0,positive,2
"Weak global cues pull gold futures down to Rs 31,348",0,0,1,0,1,0,negative,1
"Dec. gold falls $5.20, or 0.4%, to settle at $1,277.70/oz",0,0,1,0,1,0,negative,1
"Gold declines $5.10, or 0.4%, to settle at $1,311.40 an ounce",0,0,1,0,1,0,negative,1
"april gold settles at $1,317.80/oz, up $5.50, or 0.4%",1,0,0,0,1,0,positive,2
expect major fall in gold till usd 1450: nirmal bang,0,0,1,0,1,0,negative,1
Gold prices log third straight decline,0,0,1,0,1,0,negative,1
"on duty hike fear, india seen importing 15% more gold in january",0,0,0,0,1,0,none,3
Gold futures finish the week with a gain of about 0.3%,1,0,0,0,1,0,positive,2
"gold falls with stocks, euro as china data tempers risk mood",0,0,1,0,1,0,negative,1
gold kist q2 loss 32c vs earnings 76c,0,0,1,0,1,0,negative,1
comex gold futures settle higher ahead of fomc minutes,1,0,0,0,1,0,positive,2
Gold holds steady as dollar hovers near 10-month low,0,1,1,1,1,0,negative,1
physical demand of gold declines by 15% in a week; no immediate recovery seen,0,0,1,0,1,0,negative,1
gold futures extend slide on fed taper fears,0,0,1,0,1,0,negative,1
Gold rallies 1% after explosions in Brussels,1,0,0,0,1,0,positive,2
gold enters new 'phase',0,0,0,0,1,0,none,3
"Gold seizures double, raise fears of rise in smuggling",0,0,0,0,1,0,none,3
Gold futures turn lower just ahead of the settlement as the dollar strengthens,0,0,1,1,1,0,negative,1
gold futures sink more than $100 since july 31,0,0,1,0,1,0,negative,1
gold closes above $475 for first time since oct. 17,1,0,0,0,1,0,positive,2
"do not expect major upside in gold, silver: nirmal bang",0,1,0,1,1,0,neutral,0
Gold prices slip as surging US Treasury yields lift dollar,0,0,1,1,1,0,negative,1
"way2wealth`s view on gold, natural gas, zinc",0,0,0,0,1,0,none,3
gold settles at new high; silver notches 30-year best,1,0,0,1,1,0,positive,2
feb gold closes at lowest level since nov 11,0,0,1,0,1,0,negative,1
Gold prices slip in major metros in India,0,0,1,0,1,0,negative,1
"comex gold futures down 0.4% on day, but gains 2.4% on week",0,0,1,0,1,0,negative,1
gold gains give edge to bay street,1,0,0,0,1,0,positive,2
gold futures close with only a 20-cent gain,1,0,0,0,1,0,positive,2
gold futures pare some losses in electronic trade after fed beige book,0,0,1,0,1,0,negative,1
"Profit-booking pulls gold futures down to Rs 29,586",0,0,1,0,1,0,negative,1
"Dec. gold loses $16.40, or 1.2%, to settle at $1,329.70/oz",0,0,1,0,1,0,negative,1
gold closes up as traders mull safe-haven appeal,1,0,0,0,1,0,positive,2
june gold climbs $5.50 to $598/oz after 25-yr high of $600,1,0,0,0,1,0,positive,2
Gold / Silver / Copper futures - weekly outlook: August 11 - 15,0,0,0,1,1,0,none,3
"dip in dollar drives gold, other metals higher",0,0,1,1,1,0,negative,1
"85 years ago today, gold and us dollar traders got a jolt",0,0,0,1,1,0,none,3
gold futures up $4.50 at $895.70 an ounce,1,0,0,0,1,0,positive,2
Gold gains on higher Asian cues,1,0,0,0,1,0,positive,2
Gold marks first weekly loss in 5 weeks,0,0,1,0,1,0,negative,1
"gold touches new high of rs 29,440 on seasonal demand",1,0,0,0,1,0,positive,2
"Gold falls to Rs 30,800; silver down at Rs 41,200 per kg",0,0,1,1,1,0,negative,1
"June gold up $8.60, or 0.7%, at $1,265/oz.",1,0,0,0,1,0,positive,2
"Profit-booking pulls gold futures down to Rs 30,932 ",0,0,1,0,1,0,negative,1
gold futures edge down as dollar strengthens,0,0,1,1,1,0,negative,1
gold trims gains; oil adds to losses on bernanke,1,0,0,1,1,0,positive,2
"June gold falls $10.70, or 0.8%, to settle at $1,283.40/oz",0,0,1,0,1,0,negative,1
"August gold off 0.4% at $1,273/oz.",0,0,1,0,1,0,negative,1
gold trades flat after jobless-claims report,0,1,0,0,1,0,neutral,0
Gold extends gain on rising demand,1,0,0,0,1,0,positive,2
"february gold up $8.60, or 0.7%, to $1.303.10 an ounce",1,0,0,0,1,0,positive,2
gold to trade in 30165-30875. range: achiievers equities,0,1,0,0,0,1,neutral,0
india : high prices take sheen off gold sales on dhanteras,1,0,0,0,1,0,positive,2
"gold plunges by rs 550 to rs 11,300, may test further lows",0,0,1,0,1,0,negative,1
gold falls on upbeat jobs data but ends off lows,0,0,1,0,1,0,negative,1
august gold up 20 cents to $923.50 an ounce on nymex,1,0,0,0,1,0,positive,2
us gold imports until june recorded 5% decline,0,0,0,0,1,0,none,3
dec gold taps fresh 7-mo high of $435/oz,1,0,0,0,1,0,positive,2
gold futures holding below $600 an ounce; oil above $60,0,1,0,1,1,0,neutral,0
gold shoots higher after weak payroll reading,1,0,0,0,1,0,positive,2
"Dec. gold settles up $1.30, or 0.1%, at $1,329.30/oz",1,0,0,0,1,0,positive,2
"December gold up 0.9% at $1,299.20 an ounce",1,0,0,0,1,0,positive,2
"Gold Prices Edge Lower, All Eyes on Fed Meeting",0,0,1,0,1,0,negative,1
oh yellen! any fed normalisation hint can end this bear grip on gold,0,0,0,0,1,0,none,3
Gold edges higher; Fed minutes in focus,1,0,0,0,1,0,positive,2
Gold futures down five weeks in a row,0,0,1,0,1,0,negative,1
"gold settles at record $1,509.10 an ounce",0,0,0,0,1,0,none,3
"gold futures accelerate losses, down 2%",0,0,1,0,1,0,negative,1
"dhanteras: festive demand, global cues push up gold futures",1,0,0,0,1,0,positive,2
barrick gold gets favorable court ruling on epa report,0,0,0,0,1,0,none,3
"Feb. gold settles at $1,185.50/oz, up 60 cents, or less than 0.1%",1,0,0,0,1,0,positive,2
gold eases on steady selling; silver recovers,0,0,1,1,1,0,negative,1
philadelphia gold & silver index falls 3.6%,0,0,1,1,1,0,negative,1
gold futures bend to profit-taking,0,0,0,0,1,0,none,3
"gold regains peak of rs 11,920",1,0,0,0,1,0,positive,2
"metals shares rise, gold prices steady",0,1,0,0,1,0,neutral,0
spot gold quoted at $457 in asia trade,0,0,0,0,1,0,none,3
Gold futures rise but upside seen limited,1,1,0,0,1,0,positive,2
"spot gold quoted at $405.90, up 60 cents from new york",1,0,0,0,1,0,positive,2
Gold prices trading lower in major metros,0,0,1,0,1,0,negative,1
gold may get costlier due to rbi measures to boost exports,1,0,0,0,1,0,positive,2
"gold prices hover below 2-week high, set for second weekly gain",1,0,0,0,1,0,positive,2
"water is the new gold, a big commodity bet",0,0,0,1,1,0,none,3
gold extends losses to third day as oil slumps,0,0,1,1,1,0,negative,1
gold slips from one-month high; down rs 35 on global cues,0,0,1,0,1,0,negative,1
"feb. gold down $12.90, or 0.8%, to $1,582.60/oz",0,0,1,0,1,0,negative,1
gold down $9.40 at $904.60 an ounce in electronic trading,0,0,1,0,1,0,negative,1
"spot gold quoted at $421.30, down 60c from new york",0,0,1,0,1,0,negative,1
"gold falls further by rs 170, silver adds rs 500",0,0,1,1,1,0,negative,1
Gold edges lower as trade tensions weigh,0,0,1,0,1,0,negative,1
Gold settles modestly higher to kick off August; Silver ends at 2-year high,1,0,0,1,1,0,positive,2
gitanjali's market cap halved on gold measures,0,0,0,0,1,0,none,3
gold prices mark fresh 6-month high on safe haven demand,1,0,0,0,1,0,positive,2
"gold shines on, settles above rs 10k",1,0,0,0,1,0,positive,2
gold stock indexes touch new highs,0,0,0,0,1,0,none,3
"June gold falls $9.90, or 0.8%, to settle at $1,248.50/oz",0,0,1,0,1,0,negative,1
no gold trader should ignore these odds,0,0,0,0,1,0,none,3
jp morgan : gold's time to shine will be at the end of 2018,0,0,0,0,1,0,none,3
"gold settles lower, then climbs after fed statement",0,0,1,0,1,0,negative,1
"the truth about solar, gold and marijuana",0,0,0,0,1,0,none,3
Gold demand up 37% in Q2 as jewellers stock up ahead of GST,0,0,0,0,1,0,none,3
"Dec. gold settles at $1,216.90/oz, down $7, or 0.6%",0,0,1,0,1,0,negative,1
gold edges lower as trade concerns lift the dollar,0,0,1,1,1,0,negative,1
barrick gold down 0.7% at $22.39,0,0,1,0,1,0,negative,1
"gold steady above &#36;1,200, but tapering worries remain",0,1,0,0,1,0,neutral,0
dec. gold falls $2.30 to $621.50/oz after $629 high,0,0,1,0,1,0,negative,1
Gold futures end lower after five-session rise,0,0,1,0,1,0,negative,1
india to have gold sourcing standards for refiners,0,0,0,0,1,0,none,3
weak stock market supports gold,1,0,0,0,1,0,positive,2
"gold slips off record, closes 0.4% lower",0,0,1,0,1,0,negative,1
gold futures climb above $446,1,0,0,0,1,0,positive,2
India gold reverses early gains; physical demand up,1,0,0,0,1,0,positive,2
gold industry plans 100 hallmarking units,0,0,0,0,1,0,none,3
"april gold up $2.40, or 0.2%, to $1,589/oz",1,0,0,0,1,0,positive,2
gold futures close with a gain of nearly 3%,1,0,0,0,1,0,positive,2
gold at highest in over two years on renewed brexit concerns,1,0,0,0,1,0,positive,2
Gold trades at 3-week high amid Iraq turmoil,1,0,0,0,1,0,positive,2
sitting on a gold mine,0,0,0,0,1,0,none,3
why gold just posted its biggest drop this year,0,0,1,0,1,0,negative,1
gold traders pray for good monsoon to drive up sales,0,0,0,0,1,0,none,3
"june gold falls $2.30, or 0.3%, to $883.50/oz in ny",0,0,1,0,1,0,negative,1
"The most active December gold contract adds $6.20, or 0.5% to settle at $1,334.50/oz",1,0,0,0,1,0,positive,2
Gold prices ease as dollar recovers from 7-week low,0,0,1,1,1,0,negative,1
gold settles at a nearly 6-month high as risky assets get rocked,1,0,0,0,1,0,positive,2
"August gold trades at $1,220.80/oz, up $1.60, or 0.1%",1,0,0,0,1,0,positive,2
Sandstorm Gold upgraded to outperform from sector perform at RBC Capital,0,0,0,0,1,0,none,3
feb gold falls $1 to $556/oz in last half hr of trading,0,0,1,0,1,0,negative,1
china gold demand to double in 10 yrs: trade group,0,0,0,0,1,0,none,3
gold little changed in early morning trading,0,1,0,0,1,0,neutral,0
gold fields head sees better days,0,0,0,0,1,0,none,3
"Gold settles in the red, weighed by dollar's gain",0,0,1,1,1,0,negative,1
Gold prices up in Chennai,1,0,0,0,1,0,positive,2
metals indexes close little changed despite gold weakness,0,0,1,0,1,0,negative,1
"gold holds near &#36;1,170; greece, dollar eyed for cues",0,1,0,1,1,0,neutral,0
"gold futures fall 1% on day, gain 0.7% on week",1,0,1,0,1,0,positive,2
april gold up $3.50 at $374.20/oz after $375.60 high,1,0,0,0,1,0,positive,2
"Gold adds to earlly loss after jobless claims, GDP revision",0,0,1,0,1,0,negative,1
"gold falls to fresh 1-week low after gdp, jobless claims data",0,0,1,0,1,0,negative,1
Gold perched near 3-month high ahead of US jobs data,1,1,0,0,1,0,positive,2
india gold edges down; demand continues to be weak,0,0,1,0,1,0,negative,1
gold futures' decline steepens in late morning trade,0,0,1,0,1,0,negative,1
"April gold at $1,249.20/oz in electronic trading, after settlement at $1,250",0,0,0,0,1,0,none,3
gold ends barely changed ahead of fed minutes,0,1,0,0,1,0,neutral,0
Gold under pressure on looming US interest rate hike,0,0,0,0,1,0,none,3
outlook for gold remains positive: surbiton,1,0,0,0,1,0,positive,2
"gold, silver lost its shine: mecklai graph",0,0,1,1,1,0,negative,1
"dec. gold up $32.20, or 1.7%, at $1,909.10/oz",1,0,0,0,1,0,positive,2
sharps pixley: swiss gold exports - mainland china top dog again,0,0,0,0,1,0,none,3
"gold prices ease in asia with china, india eyed",0,0,0,0,1,0,none,3
"gold rate today: gold, silver down in morning deals",0,0,1,1,1,0,negative,1
"gold futures down $1.80 at $1,085.10 an ounce",0,0,1,0,1,0,negative,1
"drop in gold, crude prices to support rupee: jayesh mehta",0,0,1,1,1,0,negative,1
"Gold futures down at Rs 26,253 on offloading of positions",0,0,1,0,1,0,negative,1
june gold up $7.10 at $934.10 an ounce on nymex,1,0,0,0,1,0,positive,2
gold rises 1 pc as us dollar steadies,1,0,0,1,1,0,positive,2
"Gold, silver drop 1% as Fed rate outlook weighs",0,0,1,1,1,0,negative,1
gold fields up in nyse debut,1,0,0,0,1,0,positive,2
"August gold surges $10.70, or 0.9%, at $1,228/oz.",1,0,0,0,1,0,positive,2
"wedding season demand pushes up gold by rs 230,silver by rs450",1,0,0,1,1,0,positive,2
barclays: sell into gold rallies in 2014,0,0,0,0,1,0,none,3
Gold recovers from 9-1/2 month low as dollar weakens,1,0,0,1,1,0,positive,2
Gold Prices Mildly Recover as Markets Digest Powell Remarks,1,0,0,0,1,0,positive,2
Gold prices push higher but gains seen limited,1,0,0,0,1,0,positive,2
gold ends at six-month high near $425,1,0,0,0,1,0,positive,2
gold declines as funds shift to equity,0,0,1,0,1,0,negative,1
gold slips amid steady dollar; investors wary ahead of jackson hole meet,0,0,1,1,1,0,negative,1
"peru may copper output up; gold, silver, zinc down",0,0,1,1,1,0,negative,1
"Gold trims gains after upbeat U.S. housing, consumer data",1,0,0,0,1,0,positive,2
"Gold to test resistance, fall",0,0,1,0,1,0,negative,1
one look at this chart and even the haters might be tempted to buy some gold,0,0,0,0,1,0,none,3
gold futures pare some gains after ism data,1,0,0,0,1,0,positive,2
"feb. gold rises to $1,137 from $1,136.2",1,0,0,0,1,0,positive,2
"rupee hits 25-mth low as shares slide, dollar up; gold down nearly 1%",0,0,1,1,1,0,negative,1
"aug gold down in evening trading, down $1.50 at $348.10",0,0,1,0,1,0,negative,1
gold to trade in 29009-29833. range: achiievers equities,0,1,0,0,0,1,neutral,0
"oil, gold hold on to gains after ism",1,0,0,1,1,0,positive,2
"Despite rising prices, gold holds the glitter",0,1,0,0,1,0,neutral,0
Gold futures little changed ahead of U.S. GDP data,0,1,0,0,1,0,neutral,0
gold prices in india slip despite heavy buying on akshaya tritiya; oil falls by $5,0,0,1,1,1,0,negative,1
"sell mcx gold, silver, copper, lead, zinc: dani commodities",0,0,0,1,1,0,none,3
"December gold up 1.4% at $1,280.80/oz.",1,0,0,0,1,0,positive,2
south africa : minerals council says gold sector is facing 'serious challenges',0,0,0,0,1,0,none,3
"commodity bets: tips to trade gold, silver, crude, copper",0,0,0,1,1,0,none,3
Gold suffers longest stretch of declines since July 2015,0,0,1,0,1,0,negative,1
gold inches up after fed officials' comments on stimulus,1,0,0,0,1,0,positive,2
buy gold around rs 27640; stop loss rs 27300: way2wealth,0,0,1,0,1,0,negative,1
Gold prices trading mixed in major metros in India,0,0,0,0,1,0,none,3
mcx gold feb contract trades flat,0,0,0,0,1,0,none,3
newmont-barrick race for top gold crown comes down to a decimal,0,0,1,0,1,0,negative,1
"Gold regains Rs 28,000-mark, silver up by Rs 2,300",1,0,0,1,1,0,positive,2
gold futures slide to lowest close in 3 months,0,0,1,0,1,0,negative,1
tsx drops on italy concerns; gold miners rally,0,0,1,0,1,0,negative,1
comex gold closes higher for a third straight sess,1,0,0,0,1,0,positive,2
august gold climbs $3.10 to $657.30/oz in morning trading,1,0,0,0,1,0,positive,2
dec gold up $1.20 to $479.20 after $479.90 high,1,0,0,0,1,0,positive,2
"buy gold, silver: kishore narne",0,0,0,1,1,0,none,3
India Post offers 6.5% discount on gold coin,0,0,0,0,1,0,none,3
"gold futures mark first fall in 3 sessions, but hold above $1,300 level",0,0,1,0,1,0,negative,1
"crude oil, gold futures lower after u.s. ppi",0,0,1,1,1,0,negative,1
global travel ind strikes gold in old,0,0,0,0,1,0,none,3
"dollar, treasurys stay down; gold pares gains",0,0,0,1,1,0,none,3
jewellers' body opposes government's move to increase import duty on gold,0,0,0,0,1,0,none,3
Gold prices end at highest level in a month,1,0,0,0,1,0,positive,2
"commodity outlook: gold shrugs off us rate hike, eyes rs 30,700",0,0,1,1,1,0,negative,1
"gold futures head lower, on track for four-session loss",0,0,1,0,1,0,negative,1
"gold prices are likely to jump to a 4-year high of $1,400 by 2017-end",1,0,0,0,1,0,positive,2
"Dec. gold settles at $1,255.50/oz, down $2.10, or 0.2%",0,0,1,0,1,0,negative,1
"Gold falls to Rs 29,330 on weak global cues, muted demand",0,0,1,0,1,0,negative,1
philadelphia gold & silver index gains 4.1%,1,0,0,1,1,0,positive,2
"gold, silver prices tumble on crash in global markets",0,0,1,1,1,0,negative,1
"December gold down 0.5% at $1,273/oz.",0,0,1,0,1,0,negative,1
a surprise jump in investor and central bank gold demand,0,0,1,0,1,0,negative,1
"gold futures gain for the day, lose for the week",1,0,0,0,1,0,positive,2
"can make money on gold at these levels also: kishore narne, anand rathi commodities",0,0,0,0,1,0,none,3
Gold prices hold modest loss after PPI report,0,0,1,0,1,0,negative,1
gold jewellery sales pick up slowly after falling 80%,1,0,0,0,1,0,positive,2
Gold climbs to 2-week high on cautious Fed outlook,1,0,0,0,1,0,positive,2
spot gold quoted at $492.30 in asia trade,1,0,0,0,1,0,positive,2
mcx gold december contract trades lower,0,0,1,0,1,0,negative,1
how top performers are going for the gold,0,0,0,0,1,0,none,3
gold remains higher after durable-goods data,1,0,0,0,1,0,positive,2
Gold prices log highest finish since the middle of June,1,0,0,0,1,0,positive,2
Gold futures waver in electronic trading after Fed minutes,0,0,0,0,1,0,none,3
floor 'looks to be softening' for gold: barclays,0,0,0,0,1,0,none,3
"gold futures climb, aims to recoup recent loss",1,0,0,0,1,0,positive,2
"gold up as copper, silver post gains",1,0,0,1,1,0,positive,2
gold futures open lower amid profit-taking,0,0,1,0,1,0,negative,1
"june gold trades up 70 cents at $1,315.40/oz on comex",1,0,0,0,1,0,positive,2
Gold futures jump by the most in 6 weeks,1,0,0,0,1,0,positive,2
"Gold may test resistance, fall",0,0,1,0,1,0,negative,1
why gold hasn't yet hit bottom,0,0,0,0,0,1,none,3
Gold ends higher after a recent decline to a four-month low,0,0,1,0,1,0,negative,1
Gold extends early loss after first read of GDP,0,0,1,0,1,0,negative,1
"global meltdown steals thunder from gold, silver",0,0,0,1,1,0,none,3
"april gold up 60c at $337.20, off $343.50 high",1,0,0,0,1,0,positive,2
go long in gold with stop loss below rs 29800: nirmal bang,0,0,1,0,1,0,negative,1
gold / silver / copper futures - weekly outlook: august 7 - 11,0,0,0,1,1,0,none,3
"June gold off 0.2% at $1,265.20/oz. after data",0,0,1,0,1,0,negative,1
"gold ends 1.9% higher at $1,758.50 an ounce",1,0,0,0,1,0,positive,2
"gold futures settle at record $1,517.10 an ounce",0,0,1,0,1,0,negative,1
Akshaya Tritiya 2018: Portfolio allocation for gold should be 10-15% due to current global events,0,0,0,0,1,0,none,3
dec. gold up $8.70 to $644.20/oz in morning trading,1,0,0,0,1,0,positive,2
"buy into gold after recent drop, goldman says",0,0,1,0,1,0,negative,1
Gold jewellery exports up 14.69% in April,0,0,0,0,1,0,none,3
gold rallies by 395 per ten grams on higher global cues,1,0,0,0,1,0,positive,2
Gold prices mark first loss in four sessions,0,0,1,0,1,0,negative,1
"gold, silver futures trim losses after u.s. jobless claims, cpi data",0,0,1,1,1,0,negative,1
"Gold drops to 2-week low, suffers worst weekly decline in a month",0,0,1,0,1,0,negative,1
"april gold ends the month with a 2.2%, or $14.60/oz, gain",1,0,0,0,1,0,positive,2
gold etf demand doubles in the first quarter,0,0,0,0,1,0,none,3
gold jumps over 1% as market sentiment wanes,1,0,0,0,1,0,positive,2
Gold steady near 1-week high on North Korea worries,0,1,0,0,1,0,neutral,0
jinbi token goes for gold,0,0,0,0,1,0,none,3
gold rebounds in post-christmas trade,1,0,0,0,1,0,positive,2
"December gold up 0.2% at $1,290.70/oz.",1,0,0,0,1,0,positive,2
gold slips in wake of capital flows data,0,0,1,0,1,0,negative,1
Gold prices halt two-session skid as dollar stalls,0,1,0,1,1,0,neutral,0
"Gold edges up to Rs 31,585 on spot demand, global cues",1,0,0,0,1,0,positive,2
Gold prices dip in Asia with markets in major buyer China closed,0,0,1,0,1,0,negative,1
Gold ends with small gain,1,0,0,0,1,0,positive,2
"I'm betting a colleague that gold will fall to less than $1,000 an ounce this year",0,0,1,0,1,0,negative,1
gold steadies; aluminium at 3-month low,0,1,0,0,1,0,neutral,0
"gold clears 200-dma hurdle, surges to 1-month tops",1,0,0,0,1,0,positive,2
"Feb. gold at $1,156.70/oz in electronic trading vs. $1,163.70 settlement",0,0,0,0,1,0,none,3
Gold ends at 2-month low as Fed comments fuel dollar's climb,0,0,1,1,1,0,negative,1
canada defeats u.s. for women's hockey gold medal,0,0,0,0,1,0,none,3
gold futures down 1.8% for the week,0,0,1,0,1,0,negative,1
Gold prices up in Asia as China PMI flash survey shows dim picture,1,0,0,0,1,0,positive,2
"dec gold closes at $443.10/oz in ny, up 90c for the session",1,0,0,0,1,0,positive,2
"dec. gold rises 0.2% to $1,016.50 an ounce",1,0,0,0,1,0,positive,2
gold steady near 2-month highs as n. korea tensions lend support,0,1,0,0,1,0,neutral,0
Gold down in futures trade on global cues,0,0,1,0,1,0,negative,1
Gold futures settle higher ahead of Fed decision,1,0,0,0,1,0,positive,2
"dec. gold closes at $1,778.90, down $35.80",0,0,1,0,1,0,negative,1
"For now, avoid MCX gold",0,0,0,0,1,0,none,3
stocks: all that glitters is gold (and silver),0,0,0,1,1,0,none,3
"Profit-booking pulls gold futures down to Rs 27,855",0,0,1,0,1,0,negative,1
gold futures gain 30 cents after mubarak speaks,1,0,0,0,1,0,positive,2
india's gold demand slips 14% to 842.7 tonnes in 2014,0,0,0,0,1,0,none,3
Gold settles at 5-week high amid doubts about Fed's pace of rate hikes,1,0,0,0,1,0,positive,2
Gold prices rebound slightly in Asia with Greece debt impasse in focus,1,0,0,0,1,0,positive,2
"gold, silver cover lost ground, spurt on fresh demand",1,0,1,1,1,0,positive,2
Support for MCX Gold Dec at Rs 26250: Kotak Commodity,0,0,0,1,1,0,none,3
"gold futures hold steady, near 3-1/2 month highs",0,1,0,0,1,0,neutral,0
Gold ends lower as Fed seen adopting hawkish stance,0,0,1,0,1,0,negative,1
"December gold up $5.80, or 0.4%, at $1,302.30 an ounce",1,0,0,0,1,0,positive,2
"Gold aims for fourth gain in five sessions as dollar drops, equities weaken",1,0,0,1,1,0,positive,2
Gold rises on positive global cues,1,0,0,0,1,0,positive,2
Gold futures settle lower on the back of a dollar rally,0,0,1,1,1,0,negative,1
"gold prices may fall as trump, junker strike deal on auto tariffs",0,0,1,0,1,0,negative,1
Gold's firmness may be flash in the pan,0,1,0,0,1,0,neutral,0
Gold ends sharply lower as German political turmoil lifts dollar,0,0,1,1,1,0,negative,1
Bridal season demand spurs hope for gold jewellers,0,0,0,0,1,0,none,3
gold buying retreats as prices hit 5-month high,1,0,0,0,1,0,positive,2
central banks add to gold reserves during third quarter of 2018,0,0,0,0,1,0,none,3
gold import surges to $17bn in april-september,0,0,0,0,1,0,none,3
"gold slips 1%, etf holdings hit lowest since sept 2009",0,0,1,0,1,0,negative,1
"Gold extends losses to $1,247.30 following Fed minutes",0,0,1,0,1,0,negative,1
mcx goldpetal jan contract trades flat,0,0,0,0,1,0,none,3
Gold inches up from near 5-month low ahead of Fed meeting,1,0,0,0,1,0,positive,2
"gold tallies fifth straight session gain, ends at highest since nov. 3",1,0,0,0,1,0,positive,2
Gold starts the week a touch lower; U.S. inflation data awaited,0,0,1,0,1,0,negative,1
the secret bull market in gold,0,0,0,0,1,0,none,3
"gold, energy boost bay street",1,0,0,0,1,0,positive,2
Gold prices rally to their highest finish in more than a month,1,0,0,0,1,0,positive,2
"gold falls for first time in 4 days, silver melts too",0,0,1,1,1,0,negative,1
mcx gold october contract slips 2%,0,0,1,0,1,0,negative,1
"Feb. gold settles at $1,161.90/oz, down $10.50, or 0.9%",0,0,1,0,1,0,negative,1
"Gold gains on Iraqi violence, U.S. data cap gains",1,0,0,0,1,0,positive,2
"Gold falls to Rs 29,447 at futures trade",0,0,1,0,1,0,negative,1
"way2wealth`s view on gold, crude, nickel, zinc, soybean",0,0,0,1,1,0,none,3
gold beats s&p 500 to bear market level,1,0,0,0,1,0,positive,2
trump : what would impeaching trump mean for gold and silver?,0,0,0,1,0,1,none,3
Gold snaps a five-session slide as the dollar retreats,0,0,1,1,1,0,negative,1
"gold rises 0.8% to record $1,258.30 an ounce",1,0,0,0,1,0,positive,2
gold prices hold steady in asia as investors mull fed rate hike stance,0,1,0,0,1,0,neutral,0
"Gold adds more losses, slips below Rs 32k-mark",0,0,1,0,1,0,negative,1
"gold inches up, breaking losing streak",1,0,0,0,1,0,positive,2
"gold drops on u.s. data, boj move to expand stimulus",0,0,1,0,1,0,negative,1
gold takes a dive on upbeat u.s. consumer confidence report,0,0,1,0,1,0,negative,1
"december gold little changed at $1,231.50/oz.",0,1,0,0,1,0,neutral,0
gold futures tumble to fresh 5-year lows,0,0,1,0,1,0,negative,1
"Gold prices to find direction from non-farm payroll data, Fed meeting'",0,0,0,0,1,0,none,3
"gold futures end above $630 as traders eye dollar, oil gains",1,0,0,1,1,0,positive,2
Gold holds modest gains after string of data,1,0,0,0,1,0,positive,2
dec gold up $3.60 at $419.20/oz in ny,1,0,0,0,1,0,positive,2
lme : gold buying price to be set at usd2 lower than london metal exchange rate,0,0,1,0,1,0,negative,1
"dec. gold up $22.30, or 2%, to settle at $1,153.80/oz on comex",1,0,0,0,1,0,positive,2
"gold trades higher on safe-haven demand; rs 28,650 key resistance",1,0,0,0,1,0,positive,2
gold prices close more than $3 lower,0,0,1,0,1,0,negative,1
"Gold futures fall to Rs 31,288 per 10 gm",0,0,1,0,1,0,negative,1
"gold ends at record high of $1,004 as dollar weakens",1,0,0,1,1,0,positive,2
"Gold drifts lower in Asia as Fed, Muchin views weighed",0,0,1,0,1,0,negative,1
